,count,word
1158,21.0,stop
737,21.0,class
2120,20.0,birthday
571,20.0,regular
2930,20.0,chad
1022,20.0,rd
3562,20.0,bank
316,20.0,supposed
632,20.0,shopping
2149,20.0,february
1404,20.0,mention
699,20.0,main
539,20.0,writer
1387,20.0,novel
657,20.0,matter
213,20.0,january
897,20.0,using
502,20.0,green
2012,20.0,july
2231,20.0,gets
2028,20.0,k
870,20.0,plans
478,20.0,likely
875,20.0,living
750,19.0,material
1092,19.0,meeting
1604,19.0,review
1749,19.0,kelly
1602,19.0,cold
1340,19.0,groceries
1911,19.0,answer
1354,19.0,pens
2180,19.0,eating
584,19.0,weather
262,19.0,tried
911,19.0,color
1526,19.0,turn
1290,19.0,betelgeuse
2517,19.0,fact
623,19.0,leave
628,19.0,kitchen
337,19.0,appear
1153,19.0,glad
2956,19.0,shower
1228,19.0,dark
2490,19.0,fatima
2951,19.0,shermeta
3,19.0,sirius
1547,19.0,careful
313,19.0,rather
1201,19.0,university
3250,19.0,appointment
1083,19.0,both
1703,19.0,nothing
997,19.0,half
1661,19.0,nairobi
1496,19.0,worked
2160,18.0,lights
483,18.0,ever
1099,18.0,interested
2664,18.0,low
1788,18.0,energy
826,18.0,pontiac
2488,18.0,march
2642,18.0,purple
704,18.0,travel
2969,18.0,october
3831,18.0,drawing
606,18.0,bed
1962,18.0,danny
1214,18.0,sent
677,18.0,hospital
3221,18.0,knowledge
882,18.0,required
2753,18.0,likes
2062,18.0,ahead
68,18.0,three
484,17.0,seen
975,17.0,job
934,17.0,appears
1319,17.0,lately
1561,17.0,reason
2487,17.0,eye
1785,17.0,scale
910,17.0,listen
2755,17.0,african
626,17.0,rest
830,17.0,finished
692,17.0,along
1596,17.0,mostly
868,17.0,authors
2581,17.0,medicine
2228,17.0,increase
435,17.0,brain
2678,17.0,paid
582,17.0,changes
380,17.0,clear
3071,17.0,goals
966,17.0,mystery
1021,17.0,september
1032,17.0,looked
756,17.0,nearly
1034,16.0,useful
945,16.0,bring
590,16.0,instead
1152,16.0,keeping
2081,16.0,definitely
