,count,word
384,14.0,benefits
1563,14.0,wake
608,14.0,dermatologist
353,14.0,others
2039,13.0,lost
5637,13.0,tumblr
862,13.0,value
2333,13.0,guardianship
1993,13.0,busy
503,13.0,transportation
1527,13.0,mix
4911,13.0,bottle
2317,13.0,dark
1123,13.0,faster
1767,13.0,feelings
3240,13.0,novi
6230,13.0,brown
4479,13.0,kenya
1428,13.0,decisions
2679,13.0,sun
3935,13.0,third
648,13.0,staying
3178,13.0,lose
3833,13.0,nobody
1338,13.0,separate
1342,13.0,top
2339,13.0,line
1075,13.0,m
5034,13.0,primes
1968,13.0,south
658,13.0,successful
4656,13.0,divisions
5175,13.0,artwork
1397,13.0,jazz
6087,13.0,curry
6774,13.0,mm
1592,13.0,procyon
3446,13.0,problems
1824,13.0,opportunity
886,13.0,cycle
2150,13.0,housing
1831,13.0,ethan
2565,13.0,arrive
3262,13.0,talks
1460,13.0,return
2351,13.0,plans
1183,13.0,desk
1880,13.0,throughout
1841,13.0,decided
2418,13.0,visit
3527,13.0,ink
5241,13.0,beef
570,13.0,journaling
1238,13.0,parts
687,13.0,player
926,13.0,area
2800,13.0,minute
6223,13.0,turquoise
1066,13.0,sign
2161,13.0,oh
2074,13.0,guy
5080,13.0,crystal
2167,13.0,movie
208,13.0,behind
2084,13.0,learned
679,13.0,ok
1149,13.0,including
2627,12.0,hughes
651,12.0,normally
3811,12.0,island
1639,12.0,project
2734,12.0,quickly
385,12.0,following
2360,12.0,relevant
2698,12.0,fill
2748,12.0,pop
397,12.0,nurse
4832,12.0,perfect
5942,12.0,noodle
4149,12.0,colombian
1540,12.0,questions
1495,12.0,vega
1650,12.0,clearly
5753,12.0,scrivener
6667,12.0,winston
444,12.0,completed
1427,12.0,direction
343,12.0,rules
578,12.0,currently
1781,12.0,watching
914,12.0,kinds
1943,12.0,due
2910,12.0,fit
1150,12.0,smitty
4708,12.0,editor
3292,12.0,butter
1836,12.0,planning
2817,12.0,file
1125,12.0,besides
2568,12.0,salt
2085,12.0,somewhere
959,12.0,hemingway
1907,12.0,trouble
1167,12.0,moved
3483,12.0,jail
121,12.0,correct
3605,12.0,schedule
1866,12.0,version
156,12.0,method
1882,12.0,legal
143,12.0,worried
1295,12.0,mainly
806,12.0,collected
1949,12.0,concern
2238,12.0,everybody
1676,12.0,ahead
2950,12.0,heavy
4873,12.0,jumping
4874,12.0,jacks
1686,12.0,middle
3378,12.0,lights
2240,12.0,sell
1329,12.0,topic
244,12.0,basis
1725,12.0,coat
3045,12.0,control
4477,12.0,buying
973,12.0,singer
1736,12.0,decision
1194,12.0,service
3715,12.0,side
606,11.0,advance
2626,11.0,langston
600,11.0,allison
2995,11.0,easily
390,11.0,detail
1513,11.0,showed
1212,11.0,amp
1193,11.0,effort
3048,11.0,andrew
2484,11.0,basically
1463,11.0,wow
665,11.0,picked
638,11.0,pharmacy
504,11.0,internet
1112,11.0,j
1109,11.0,seeing
1315,11.0,lead
2670,11.0,exercises
1298,11.0,share
2662,11.0,form
4701,11.0,semicolon
571,11.0,allowed
6945,11.0,mwangi
7071,11.0,mushroom
551,11.0,christmas
4026,11.0,montag
3389,11.0,knowledge
1170,11.0,giving
1226,11.0,documents
1514,11.0,wrong
846,11.0,application
5261,11.0,cilantro
3246,11.0,section
1835,11.0,sarah
2816,11.0,alone
1817,11.0,maren
5118,11.0,manuscript
1797,11.0,test
4096,11.0,meridian
2170,11.0,kids
211,11.0,setting
3972,11.0,turned
778,11.0,altair
1077,11.0,cash
745,11.0,required
5822,11.0,spices
1701,11.0,otherwise
3540,11.0,intake
3357,11.0,explained
991,11.0,spoke
3630,11.0,special
776,11.0,news
3342,11.0,maasai
2298,11.0,asking
123,11.0,respond
5018,11.0,pencils
3322,11.0,son
3303,11.0,style
4539,11.0,positive
4531,11.0,prepared
2067,11.0,ordered
2075,11.0,shoes
99,11.0,particular
4966,11.0,wearing
6991,11.0,gang
4242,11.0,sex
2830,11.0,older
803,11.0,pictures
2116,11.0,deli
798,11.0,pain
2121,11.0,women
902,11.0,connection
1853,11.0,based
289,11.0,apartments
3834,11.0,website
2963,11.0,fantasy
1601,11.0,packs
1617,11.0,depending
2755,11.0,advantage
3529,11.0,moment
331,11.0,sleeping
2362,11.0,history
1015,11.0,scary
1025,11.0,serious
712,11.0,created
699,11.0,determine
4002,11.0,send
721,11.0,river
2396,11.0,description
4802,11.0,margaret
1519,11.0,meant
2130,10.0,calls
4245,10.0,florida
3368,10.0,constellation
5921,10.0,supply
5376,10.0,necessarily
4680,10.0,caro
1576,10.0,impressed
2604,10.0,beat
2143,10.0,dealers
2123,10.0,student
3197,10.0,mountain
4671,10.0,points
167,10.0,pack
2432,10.0,active
3528,10.0,trail
3158,10.0,clean
4337,10.0,cigarette
1492,10.0,somehow
1211,10.0,system
575,10.0,factor
5934,10.0,curran
3594,10.0,choose
2384,10.0,cars
2046,10.0,chef
1526,10.0,chose
1844,10.0,colin
